Name,Organization,Status
John P. VanNess,Columbian Institute for the Promotion of Arts and Sciences,Member
William A. Bradley,Columbian Institute for the Promotion of Arts and Sciences,Member
Peter Force,Columbian Institute for the Promotion of Arts and Sciences,Member
William W. Seaton,Columbian Institute for the Promotion of Arts and Sciences,Member
Richard Wallach,Columbian Institute for the Promotion of Arts and Sciences,Member
B. S. Bohrer,Columbian Institute for the Promotion of Arts and Sciences,Member
James S. Gunnell,Columbian Institute for the Promotion of Arts and Sciences,Member
Thomas Henderson,Columbian Institute for the Promotion of Arts and Sciences,Member
Henry Huntt,Columbian Institute for the Promotion of Arts and Sciences,Member
Alexander McWilliams,Columbian Institute for the Promotion of Arts and Sciences,Member
George May,Columbian Institute for the Promotion of Arts and Sciences,Member
Frederick May,Columbian Institute for the Promotion of Arts and Sciences,Member
Richard Randall,Columbian Institute for the Promotion of Arts and Sciences,Member
Thomas Sewall,Columbian Institute for the Promotion of Arts and Sciences,Member
John T. Shaaf,Columbian Institute for the Promotion of Arts and Sciences,Member
Thomas Sims,Columbian Institute for the Promotion of Arts and Sciences,Member
JohnM. Thomas,Columbian Institute for the Promotion of Arts and Sciences,Member
Tobias Watkins,Columbian Institute for the Promotion of Arts and Sciences,Member
Nicholas Worthington,Columbian Institute for the Promotion of Arts and Sciences,Member
Andrew Bigelow,Columbian Institute for the Promotion of Arts and Sciences,Member
Obadiah B. Brown,Columbian Institute for the Promotion of Arts and Sciences,Member
John N. Campbell,Columbian Institute for the Promotion of Arts and Sciences,Member
Ira Chase,Columbian Institute for the Promotion of Arts and Sciences,Member
R. R. Gurley,Columbian Institute for the Promotion of Arts and Sciences,Member
Andrew Hunter,Columbian Institute for the Promotion of Arts and Sciences,Member
James Laurie,Columbian Institute for the Promotion of Arts and Sciences,Member
Robert Little,Columbian Institute for the Promotion of Arts and Sciences,Member
William Matthews,Columbian Institute for the Promotion of Arts and Sciences,Member
Isaac Orr,Columbian Institute for the Promotion of Arts and Sciences,Member
William Staughton,Columbian Institute for the Promotion of Arts and Sciences,Member
Archibald Henderson,Columbian Institute for the Promotion of Arts and Sciences,Member
John McClelland,Columbian Institute for the Promotion of Arts and Sciences,Member
William Tatham,Columbian Institute for the Promotion of Arts and Sciences,Member
John Coyle jr,Columbian Institute for the Promotion of Arts and Sciences,Member
"Samuel Eliot, jr",Columbian Institute for the Promotion of Arts and Sciences,Member
Tobias Lear,Columbian Institute for the Promotion of Arts and Sciences,Member
John Stretch,Columbian Institute for the Promotion of Arts and Sciences,Member
Timothy Winn,Columbian Institute for the Promotion of Arts and Sciences,Member
Joseph Mechlin,Columbian Institute for the Promotion of Arts and Sciences,Member
Thomas P. Jones,Columbian Institute for the Promotion of Arts and Sciences,Member
Edmund Law,Columbian Institute for the Promotion of Arts and Sciences,Member
Benjamin L. Lear,Columbian Institute for the Promotion of Arts and Sciences,Member
Nathaniel Bowditch,Columbian Institute for the Promotion of Arts and Sciences,Member
William Darlington,Columbian Institute for the Promotion of Arts and Sciences,Member
Jared Sparks,Columbian Institute for the Promotion of Arts and Sciences,Member
John Trumbull,Columbian Institute for the Promotion of Arts and Sciences,Member
Parker Cleaveland,Columbian Institute for the Promotion of Arts and Sciences,Member
Ferdinand R. Hassler,Columbian Institute for the Promotion of Arts and Sciences,Member
Peter S. Du Ponceau,Columbian Institute for the Promotion of Arts and Sciences,Member
Benjamin Silliman,Columbian Institute for the Promotion of Arts and Sciences,Member
Noah Webster,Columbian Institute for the Promotion of Arts and Sciences,Member
John J. Abert,Columbian Institute for the Promotion of Arts and Sciences,Member
John Adams,American Academy of Arts and Sciences,Member
Samuel Adams,American Academy of Arts and Sciences,Member
John Bacon,American Academy of Arts and Sciences,Member
James Bowdoin,American Academy of Arts and Sciences,Member
Charles Chauncy,American Academy of Arts and Sciences,Member
John Clarke,American Academy of Arts and Sciences,Member
David Cobb,American Academy of Arts and Sciences,Member
Samuel Cooper,American Academy of Arts and Sciences,Member
Nathan Cushing,American Academy of Arts and Sciences,Member
Thomas Cushing,American Academy of Arts and Sciences,Member
William Cushing,American Academy of Arts and Sciences,Member
Tristram Dalton,American Academy of Arts and Sciences,Member
Francis Dalton,American Academy of Arts and Sciences,Member
Samuel Deane,American Academy of Arts and Sciences,Member
Perez Fobes,American Academy of Arts and Sciences,Member
Caleb Gannett,American Academy of Arts and Sciences,Member
Henry Gardner,American Academy of Arts and Sciences,Member
Benjamin Guild,American Academy of Arts and Sciences,Member
John Hancock,American Academy of Arts and Sciences,Member
Joseph Hawley,American Academy of Arts and Sciences,Member
Edward Augustus Holyoke,American Academy of Arts and Sciences,Member
Ebenezer Hunt,American Academy of Arts and Sciences,Member
Jonathan Jackson,American Academy of Arts and Sciences,Member
Charles Jarvis,American Academy of Arts and Sciences,Member
Samuel Langdon,American Academy of Arts and Sciences,Member
Levi Lincoln,American Academy of Arts and Sciences,Member
Daniel Little,American Academy of Arts and Sciences,Member
Elijah Lothrop,American Academy of Arts and Sciences,Member
John Lowell,American Academy of Arts and Sciences,Member
Samuel Mather,American Academy of Arts and Sciences,Member
Samuel Moody,American Academy of Arts and Sciences,Member
Andrew Oliver,American Academy of Arts and Sciences,Member
Joseph Orne,American Academy of Arts and Sciences,Member
Robert Treat Paine,American Academy of Arts and Sciences,Member
Theodore Parsons,American Academy of Arts and Sciences,Member
George Partridge,American Academy of Arts and Sciences,Member
Phillips Payson,American Academy of Arts and Sciences,Member
Samuel Phillips,American Academy of Arts and Sciences,Member
John Pickering,American Academy of Arts and Sciences,Member
Oliver Prescott,American Academy of Arts and Sciences,Member
Zedekiah Sanger,American Academy of Arts and Sciences,Member
Nathaniel Peaslee Sargeant,American Academy of Arts and Sciences,Member
Micajah Sawyer,American Academy of Arts and Sciences,Member
Theodore Sedgwick,American Academy of Arts and Sciences,Member
William Sever,American Academy of Arts and Sciences,Member
David Sewall,American Academy of Arts and Sciences,Member
Stephen Sewall,American Academy of Arts and Sciences,Member
John Sprague,American Academy of Arts and Sciences,Member
Ebenezer Storer,American Academy of Arts and Sciences,Member
Caleb Strong,American Academy of Arts and Sciences,Member
James Sulliivan,American Academy of Arts and Sciences,Member
John Barnard Swett,American Academy of Arts and Sciences,Member
Nathaniel Tracy,American Academy of Arts and Sciences,Member
Cotton Tufts,American Academy of Arts and Sciences,Member
James Warren,American Academy of Arts and Sciences,Member
Samuel West,American Academy of Arts and Sciences,Member
Edward Wigglesworth,American Academy of Arts and Sciences,Member
Joseph Willard,American Academy of Arts and Sciences,Member
Abraham Williams,American Academy of Arts and Sciences,Member
Nehemiah Williams,American Academy of Arts and Sciences,Member
Samuel Williams,American Academy of Arts and Sciences,Member
James Winthrop,American Academy of Arts and Sciences,Member
Francois Barbe-Marbois,American Academy of Arts and Sciences,Member
Joseph Brown,American Academy of Arts and Sciences,Member
Francois Jean Chastellux,American Academy of Arts and Sciences,Member
Antoine Court de Geblin,American Academy of Arts and Sciences,Member
Richard Cranch,American Academy of Arts and Sciences,Member
Manasseh Cutler,American Academy of Arts and Sciences,Member
Jean le Rond d'Alembert,American Academy of Arts and Sciences,Member
Timothy Danielson,American Academy of Arts and Sciences,Member
Anne Cesar de la Luzerne,American Academy of Arts and Sciences,Member
Timothy Edwards,American Academy of Arts and Sciences,Member
Benjamin Franklin,American Academy of Arts and Sciences,Member
Benjamin Gale,American Academy of Arts and Sciences,Member
Elbridge Gerry,American Academy of Arts and Sciences,Member
Ebenezer Hazard,American Academy of Arts and Sciences,Member
Simeon Howard,American Academy of Arts and Sciences,Member
Joseph-Jerome le Francais Lalande,American Academy of Arts and Sciences,Member
Benjamin Lincoln,American Academy of Arts and Sciences,Member
Samuel Osgood,American Academy of Arts and Sciences,Member
Theophilus Parson,American Academy of Arts and Sciences,Member
Eliphat Pearson,American Academy of Arts and Sciences,Member
Ezra Stiles,American Academy of Arts and Sciences,Member
Pehr Wilhelm Wargentin,American Academy of Arts and Sciences,Member
John Warren,American Academy of Arts and Sciences,Member
George square,American Academy of Arts and Sciences,Member
Benjamin West,American Academy of Arts and Sciences,Member
Loammi Baldwin,American Academy of Arts and Sciences,Member
Owen Biddle,American Academy of Arts and Sciences,Member
Georges Georges Louis Buffon,American Academy of Arts and Sciences,Member
Comte de Leclerc,American Academy of Arts and Sciences,Member
Leonhard Euler,American Academy of Arts and Sciences,Member
Jacques Constant de Guillaume Liberge de Granchain,American Academy of Arts and Sciences,Member
Jacques Constant de Guillaume,American Academy of Arts and Sciences,Member
Comte de Liberge de,American Academy of Arts and Sciences,Member
Thomas Brand Hollis,American Academy of Arts and Sciences,Member
Arthur Lee,American Academy of Arts and Sciences,Member
William Livingston,American Academy of Arts and Sciences,Member
Richard Price,American Academy of Arts and Sciences,Member
Joseph Priestley,American Academy of Arts and Sciences,Member
David Rittenhouse,American Academy of Arts and Sciences,Member
Jonathan Trumbull,American Academy of Arts and Sciences,Member
Meshech Weare,American Academy of Arts and Sciences,Member
Edme Sebastien Jeaurat,American Academy of Arts and Sciences,Member
Thomas Dawes,American Academy of Arts and Sciences,Member
Aaron Dexter,American Academy of Arts and Sciences,Member
William Erving,American Academy of Arts and Sciences,Member
Joshua Fisher,American Academy of Arts and Sciences,Member
Samuel Hale,American Academy of Arts and Sciences,Member
Samuel Gustaf Hermelin,American Academy of Arts and Sciences,Member
John Sparhawk,American Academy of Arts and Sciences,Member
Jeremy Belknap,American Academy of Arts and Sciences,Member
Petter Jonas Bergius,American Academy of Arts and Sciences,Member
"Marie-Joseph Paul Yves Roch Gilbert du Motier de Lafayette, Marquis de Lafayette ",American Academy of Arts and Sciences,Member
Henry Moyes,American Academy of Arts and Sciences,Member
John Prince,American Academy of Arts and Sciences,Member
James Bowdoin,American Academy of Arts and Sciences,Member
Luigi Castiglioni,American Academy of Arts and Sciences,Member
Jean Feron,American Academy of Arts and Sciences,Member
John Jones Spooner,American Academy of Arts and Sciences,Member
Samuel Vaughan Sr.,American Academy of Arts and Sciences,Member
Nathaniel Wells,American Academy of Arts and Sciences,Member
Thomas Jefferson,American Academy of Arts and Sciences,Member
Noah Atwater,American Academy of Arts and Sciences,Member
Joseph Banks,American Academy of Arts and Sciences,Member
George Cabot,American Academy of Arts and Sciences,Member
Jean Dominque Cassini,American Academy of Arts and Sciences,Member
Johann Jacob Hemmer,American Academy of Arts and Sciences,Member
William Herschel,American Academy of Arts and Sciences,Member
Thomas Hornsby,American Academy of Arts and Sciences,Member
Charles Hutton,American Academy of Arts and Sciences,Member
John Coakley Lettsom,American Academy of Arts and Sciences,Member
Nevil Maskelyne,American Academy of Arts and Sciences,Member
Nicholas Pike,American Academy of Arts and Sciences,Member
Joseph Pope,American Academy of Arts and Sciences,Member
Benjamin Rush,American Academy of Arts and Sciences,Member
Thomas Russell,American Academy of Arts and Sciences,Member
Winthrop Sargent,American Academy of Arts and Sciences,Member
Jonathan Stokes,American Academy of Arts and Sciences,Member
Richard Watson,American Academy of Arts and Sciences,Member
"Pedro Francisco Jimenez de Gongora y Lujan, Duque deAlmodovar del Rio",American Academy of Arts and Sciences,Member
Nathaniel Walker Appleton,American Academy of Arts and Sciences,Member
William Baylies,American Academy of Arts and Sciences,Member
Charles Blagden,American Academy of Arts and Sciences,Member
Jacques Pierre Brissot de Warville,American Academy of Arts and Sciences,Member
Antoine Marie Cerisier,American Academy of Arts and Sciences,Member
Samuel Danforth,American Academy of Arts and Sciences,Member
Charles William Frederick Dumas,American Academy of Arts and Sciences,Member
John Haygarth,American Academy of Arts and Sciences,Member
Edmund Jennings,American Academy of Arts and Sciences,Member
Richard Kirwan,American Academy of Arts and Sciences,Member
Jean Luzac,American Academy of Arts and Sciences,Member
Archibald Maclaine,American Academy of Arts and Sciences,Member
George Richards Minot,American Academy of Arts and Sciences,Member
Thomas Percival,American Academy of Arts and Sciences,Member
Frederik Willem Pestel,American Academy of Arts and Sciences,Member
Samuel Webber,American Academy of Arts and Sciences,Member
Joseph Philippe de'Etombe,American Academy of Arts and Sciences,Member
Solomon Drown,American Academy of Arts and Sciences,Member
George Erving,American Academy of Arts and Sciences,Member
John Howard,American Academy of Arts and Sciences,Member
Johann Wilhelm Karl Adolph Freiherr Hupsch,American Academy of Arts and Sciences,Member
John Jay,American Academy of Arts and Sciences,Member
Samuel Kirkland,American Academy of Arts and Sciences,Member
John Lathrop,American Academy of Arts and Sciences,Member
Samuel Shaw,American Academy of Arts and Sciences,Member
Grimur Jonsson Thorkelin,American Academy of Arts and Sciences,Member
Robert Young,American Academy of Arts and Sciences,Member
Charles Bulfinch,American Academy of Arts and Sciences,Member
John Singleton Copley,American Academy of Arts and Sciences,Member
John Cranch,American Academy of Arts and Sciences,Member
Samuel Dexter,American Academy of Arts and Sciences,Member
Alexander Hamilton,American Academy of Arts and Sciences,Member
William Paine,American Academy of Arts and Sciences,Member
John Pickering,American Academy of Arts and Sciences,Member
Nathan Read,American Academy of Arts and Sciences,Member
Increase Sumner,American Academy of Arts and Sciences,Member
Samuel Tenney,American Academy of Arts and Sciences,Member
John Trumbull,American Academy of Arts and Sciences,Member
John Trumbull,American Academy of Arts and Sciences,Member
Benjamin West,American Academy of Arts and Sciences,Member
John Davis,American Academy of Arts and Sciences,Member
Marie Jean Antoine Nicolas Cariat Condorcet,American Academy of Arts and Sciences,Member
William Hamilton,American Academy of Arts and Sciences,Member
Joseph Lathrop,American Academy of Arts and Sciences,Member
John Mellen Jr.,American Academy of Arts and Sciences,Member
Fisher Ames,American Academy of Arts and Sciences,Member
Benjamin Smith Barton,American Academy of Arts and Sciences,Member
Oliver Everett,American Academy of Arts and Sciences,Member
James Freeman,American Academy of Arts and Sciences,Member
William Dandridge Peck,American Academy of Arts and Sciences,Member
Nathaniel Appleton,American Academy of Arts and Sciences,Member
Johann Friedrich Blumenbach,American Academy of Arts and Sciences,Member
Benjamin Dearborn,American Academy of Arts and Sciences,Member
James Madison,American Academy of Arts and Sciences,Member
Louis Valentin,American Academy of Arts and Sciences,Member
Charles Vaughan,American Academy of Arts and Sciences,Member
Benjamin Waterhouse,American Academy of Arts and Sciences,Member
Thomas Dawes,American Academy of Arts and Sciences,Member
Thomas Welsh,American Academy of Arts and Sciences,Member
Thomas Brattle,American Academy of Arts and Sciences,Member
Christopher Gore,American Academy of Arts and Sciences,Member
Joseph McKeen,American Academy of Arts and Sciences,Member
Jedidiah Morse,American Academy of Arts and Sciences,Member
Isaac Rand,American Academy of Arts and Sciences,Member
William Spooner,American Academy of Arts and Sciences,Member
David Tappan,American Academy of Arts and Sciences,Member
Peter Thacher,American Academy of Arts and Sciences,Member
John Quincy Adams,American Academy of Arts and Sciences,Member
Edward Bancroft,American Academy of Arts and Sciences,Member
Timothy Dwight,American Academy of Arts and Sciences,Member
John Haliburton,American Academy of Arts and Sciences,Member
Samuel Latham Mitchill,American Academy of Arts and Sciences,Member
John Sinclair,American Academy of Arts and Sciences,Member
Thomas Barnard,American Academy of Arts and Sciences,Member
Theophilus Bradbury,American Academy of Arts and Sciences,Member
Mather Brown,American Academy of Arts and Sciences,Member
Franz Xaver von Zach,American Academy of Arts and Sciences,Member
Nathaniel Bowditch,American Academy of Arts and Sciences,Member
John Thornton Kirkland,American Academy of Arts and Sciences,Member
Edward Hutchinson Robbins,American Academy of Arts and Sciences,Member
Noah Webster,American Academy of Arts and Sciences,Member
Benjamin DeWitt,American Academy of Arts and Sciences,Member
Samuel Dexter,American Academy of Arts and Sciences,Member
William Falconer,American Academy of Arts and Sciences,Member
William Paterson,American Academy of Arts and Sciences,Member
Samuel Sewall,American Academy of Arts and Sciences,Member
Edward Jenner,American Academy of Arts and Sciences,Member
Timothy Bigelow,American Academy of Arts and Sciences,Member
Oliver Ellsworth,American Academy of Arts and Sciences,Member
William Emerson,American Academy of Arts and Sciences,Member
Abiel Holmes,American Academy of Arts and Sciences,Member
Benard Edward Howard,American Academy of Arts and Sciences,Member
William Petty-Fitzmaurice Lansdowne,American Academy of Arts and Sciences,Member
Allan Pollock,American Academy of Arts and Sciences,Member
Josiah Quincy,American Academy of Arts and Sciences,Member
James Thacher,American Academy of Arts and Sciences,Member
Caspar Wistar,American Academy of Arts and Sciences,Member
David Humphreys,American Academy of Arts and Sciences,Member
John Lowell,American Academy of Arts and Sciences,Member
Joseph Lyman,American Academy of Arts and Sciences,Member
John Marshall,American Academy of Arts and Sciences,Member
Harrison Gray Otis,American Academy of Arts and Sciences,Member
Joshua Thomas,American Academy of Arts and Sciences,Member
Jonathan Trumbull,American Academy of Arts and Sciences,Member
Gustav von Paykull,American Academy of Arts and Sciences,Member
Henry Ware,American Academy of Arts and Sciences,Member
Samuel Williams,American Academy of Arts and Sciences,Member
Aaron Bancroft,American Academy of Arts and Sciences,Member
John Eliot,American Academy of Arts and Sciences,Member
Levi Hedge,American Academy of Arts and Sciences,Member
Rufus King,American Academy of Arts and Sciences,Member
Henry Knox,American Academy of Arts and Sciences,Member
Olof Peter Swartz,American Academy of Arts and Sciences,Member
John Treadwell,American Academy of Arts and Sciences,Member
Benjamin Vaughan,American Academy of Arts and Sciences,Member
Samuel Eliot,American Academy of Arts and Sciences,Member
Thaddeus Mason Harris,American Academy of Arts and Sciences,Member
Daniel Kilham,American Academy of Arts and Sciences,Member
Dudley Atkins Tyng,American Academy of Arts and Sciences,Member
Thomas Thacher,American Academy of Arts and Sciences,Member
Francis Adrian Van der Kemp,American Academy of Arts and Sciences,Member
John Allyn,American Academy of Arts and Sciences,Member
Stephen Elliott,American Academy of Arts and Sciences,Member
John Farrar,American Academy of Arts and Sciences,Member
Silvain Godon,American Academy of Arts and Sciences,Member
John Clarke Howard,American Academy of Arts and Sciences,Member
James Jackson,American Academy of Arts and Sciences,Member
John Snelling Popkin,American Academy of Arts and Sciences,Member
Constantine Samuel Rafinesque-Schmaltz,American Academy of Arts and Sciences,Member
John Collins Warren,American Academy of Arts and Sciences,Member
Sidney Willard,American Academy of Arts and Sciences,Member
Joseph Stevens Buckminster,American Academy of Arts and Sciences,Member
William Ellery Channing,American Academy of Arts and Sciences,Member
Parker Cleaveland,American Academy of Arts and Sciences,Member
William Cranch,American Academy of Arts and Sciences,Member
Cornelis De Gijselaar,American Academy of Arts and Sciences,Member
John Pierce,American Academy of Arts and Sciences,Member
Charles Stearns,American Academy of Arts and Sciences,Member
Thomas Boylston Adams,American Academy of Arts and Sciences,Member
Jesse Appleton,American Academy of Arts and Sciences,Member
Loammi Baldwin Jr.,American Academy of Arts and Sciences,Member
Oliver Fiske,American Academy of Arts and Sciences,Member
John Gorham,American Academy of Arts and Sciences,Member
James Mann,American Academy of Arts and Sciences,Member
John Phillips,American Academy of Arts and Sciences,Member
John Pickering,American Academy of Arts and Sciences,Member
Eliphalet Porter,American Academy of Arts and Sciences,Member
George Cheyne Shattuck,American Academy of Arts and Sciences,Member
William Smith Shaw,American Academy of Arts and Sciences,Member
Joseph Story,American Academy of Arts and Sciences,Member
John Langdon Sullivan,American Academy of Arts and Sciences,Member
Richard Sullivan,American Academy of Arts and Sciences,Member
Redford Webster,American Academy of Arts and Sciences,Member
Josiah Bartlett,American Academy of Arts and Sciences,Member
Elisha Clap,American Academy of Arts and Sciences,Member
James Dean,American Academy of Arts and Sciences,Member
James Lloyd,American Academy of Arts and Sciences,Member
Reuben Dimond Mussey,American Academy of Arts and Sciences,Member
Isaac Parker,American Academy of Arts and Sciences,Member
Samuel Cooper Thacher,American Academy of Arts and Sciences,Member
Ebenezer Adams,American Academy of Arts and Sciences,Member
Jacob Bigelow,American Academy of Arts and Sciences,Member
Archibald Bruce,American Academy of Arts and Sciences,Member
Henry Channing,American Academy of Arts and Sciences,Member
Daniel Chipman,American Academy of Arts and Sciences,Member
Charles Etter,American Academy of Arts and Sciences,Member
Gotthelf Friedrich Fischer von Waldheim,American Academy of Arts and Sciences,Member
Nicolaus von Fuss,American Academy of Arts and Sciences,Member
Frederick Hall,American Academy of Arts and Sciences,Member
Horace Holley,American Academy of Arts and Sciences,Member
George Gardner Lee,American Academy of Arts and Sciences,Member
Ichabod Nichols,American Academy of Arts and Sciences,Member
Benjamin Lynde Oliver,American Academy of Arts and Sciences,Member
Elijah Paine,American Academy of Arts and Sciences,Member
Friedrich Theodor Schubert,American Academy of Arts and Sciences,Member
Peter Oxenbridge Thacher,American Academy of Arts and Sciences,Member
Joseph Tilden,American Academy of Arts and Sciences,Member
John Dexter Treadwell,American Academy of Arts and Sciences,Member
Daniel Appleton White,American Academy of Arts and Sciences,Member
Leonard Woods,American Academy of Arts and Sciences,Member
Rufus Wyman,American Academy of Arts and Sciences,Member
Robert Adrian,American Academy of Arts and Sciences,Member
Jeremiah Day,American Academy of Arts and Sciences,Member
John Garnett,American Academy of Arts and Sciences,Member
George Gibbs,American Academy of Arts and Sciences,Member
Jacob Perkins,American Academy of Arts and Sciences,Member
Abraham Rees,American Academy of Arts and Sciences,Member
Asahel Stearns,American Academy of Arts and Sciences,Member
William Sullivan,American Academy of Arts and Sciences,Member
Samuel Swett,American Academy of Arts and Sciences,Member
William Wells,American Academy of Arts and Sciences,Member
Thomas Lindall Winthrop,American Academy of Arts and Sciences,Member
Samuel Cary,American Academy of Arts and Sciences,Member
Jose Francisco Correa de Serra,American Academy of Arts and Sciences,Member
Jean Antoine Fabre,American Academy of Arts and Sciences,Member
Levi Frisbie,American Academy of Arts and Sciences,Member
David Hosack,American Academy of Arts and Sciences,Member
Andrews Norton,American Academy of Arts and Sciences,Member
Timothy Pickering,American Academy of Arts and Sciences,Member
Benjamin Pickman,American Academy of Arts and Sciences,Member
William Prescott,American Academy of Arts and Sciences,Member
Benjamin Silliman,American Academy of Arts and Sciences,Member
Horatio Gates Spafford,American Academy of Arts and Sciences,Member
Moses Stuart,American Academy of Arts and Sciences,Member
DeWitt Clinton,American Academy of Arts and Sciences,Member
Joseph Green Cogswell,American Academy of Arts and Sciences,Member
Samuel Willard,American Academy of Arts and Sciences,Member
Charles Jackson,American Academy of Arts and Sciences,Member
Dugald Stewart,American Academy of Arts and Sciences,Member
Walter Channing,American Academy of Arts and Sciences,Member
Chester Dewey,American Academy of Arts and Sciences,Member
George Hayward,American Academy of Arts and Sciences,Member
Benjamin Hobhouse,American Academy of Arts and Sciences,Member
Bezaleel Howard,American Academy of Arts and Sciences,Member
Daniel Drake,American Academy of Arts and Sciences,Member
Francis Calley Gray,American Academy of Arts and Sciences,Member
Nathan Hale,American Academy of Arts and Sciences,Member
Peter Stephen Du Ponceau,American Academy of Arts and Sciences,Member
Edward Everett,American Academy of Arts and Sciences,Member
Francis Vergnies,American Academy of Arts and Sciences,Member
Daniel Webster,American Academy of Arts and Sciences,Member
George Ticknor,American Academy of Arts and Sciences,Member
Claude Louis Berthollet,American Academy of Arts and Sciences,Member
Jons Jacob Berzelius,American Academy of Arts and Sciences,Member
Jean Baptiste Biot,American Academy of Arts and Sciences,Member
David Brewster,American Academy of Arts and Sciences,Member
John Brinkley,American Academy of Arts and Sciences,Member
Johann Karl Burckhardt,American Academy of Arts and Sciences,Member
Johann Tobias Burg,American Academy of Arts and Sciences,Member
Georges Leopold Cuvier,American Academy of Arts and Sciences,Member
Humphry Davy,American Academy of Arts and Sciences,Member
Jean Baptiste Joseph Delambre,American Academy of Arts and Sciences,Member
Carl Freidrich Gauss,American Academy of Arts and Sciences,Member
Friedrich Wilhelm Heinrich Alexander von Humboldt,American Academy of Arts and Sciences,Member
Friedrich Wilhelm Christian Karl Ferdinand von Humboldt,American Academy of Arts and Sciences,Member
